CPU型号,CPU频率,GPU型号,RAM容量,ROM容量,id,主屏分辨率,主屏尺寸,价格,前置摄像头,后置摄像头,型号,摄像头总数,核心数,电池容量,tags,cpu
高通 骁龙660AIE,1.95GHz,高通 Adreno512,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,10,2340x1080像素>1080P高清（击败98.21%手机）,6.41英寸需双手打字更多6.41英寸手机＞,2798,2480万像素高清级像素高像素自拍手机>,双核1200万像素+1300万像素高清级像素高清像素手机>,vivo X23幻彩版（6GB RAM/全网通）,三摄像头（后双）>,八核>,3500mAh（30分钟充电50%）大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙660
高通 骁龙670,2.0GHz>,高通 Adreno615,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,11,2340x1080像素>1080P高清（击败98.21%手机）,6.4英寸需双手打字更多6.4英寸手机＞,2799,2500万像素高清级像素高像素自拍手机>,1600万像素+500万像素高清级像素高清像素手机>,OPPO R17（6GB RAM/全网通）,三摄像头（后双）>,八核>,3500mAh大电池大电池手机>,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙670
高通 骁龙450,1.8GHz>,高通 Adreno,4GB>游戏运行一般,32GB/64GB6553张照片2730首歌曲,12,2280x1080像素1080P高清（击败98.21%手机）,6.26英寸需双手打字更多6.26英寸手机＞,1398,1600万像素>高清级像素高像素自拍手机>,主摄1300万像素+副摄200万像素高清级像素高清像素手机>,vivo Y85（全网通）,三摄像头（后双）>,八核>,3260mAh小电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性能 速度 流畅 综合,骁龙450
高通 骁龙845,2.8GHz（大四核），1.7GHz（小四核）,,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,13,2960x1440像素2K超清（击败99.81%手机）,6.4英寸需双手打字更多6.4英寸手机＞,6599,800万像素>普通级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,三星GALAXY Note 9（6GB RAM/全网通）,三摄像头（后双）>,八核>,4000mAh大电池,性价比 体验 效率 价格 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素,骁龙845
高通 骁龙855,1x2.84GHz（超级大核）+3x2.42GHz（大核）+4x1.80GHz（小核）,高通 Adreno640,12GB>游戏运行流畅,256GB>5.2万张照片2.2万首歌曲,14,2340x1080像素>1080P高清（击败98.21%手机）,6.39英寸需双手打字更多6.39英寸手机＞,4799,2000万像素高清级像素高像素自拍手机>,4800万像素+1600万像素+1200万像素高清级像素高清像素手机>,小米9 透明尊享版（12GB RAM/全网通）,四摄像头（后三）>,八核>,3300mAh大电池大电池手机>,性能 速度 流畅 综合 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙855
高通 骁龙660AIE,2.2GHz>,高通 Adreno512,4GB>游戏运行一般,32GB/64GB6553张照片2730首歌曲,15,2160x1080像素1080P高清（击败98.21%手机）,5.99英寸可单手打字更多5.99英寸手机＞,1599,2000万像素高清级像素高像素自拍手机>,2000万像素+1200万像素高清级像素高清像素手机>,小米6X（4GB RAM/全网通）,三摄像头（后双）>,八核>,3010mAh小电池,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性价比 体验 效率 价格 识别率 兼容性 实用性 功能性 ui 易用性 整体性 稳定性 综合性 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电,骁龙660
联发科 Helio P60（MT6771）,2.0GHz>,Mali-G72 MP3,4GB>游戏运行一般,128GB>2.6万张照片1.1万首歌曲,16,2280x1080像素1080P高清（击败98.21%手机）,6.2英寸需双手打字更多6.2英寸手机＞,1599,800万像素>普通级像素高像素自拍手机>,1600万像素>高清级像素 样张秀>，高清像素手机>,OPPO A3（全网通）,双摄像头（前后）>,八核>,3400mAh大电池大电池手机>,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 性能 速度 流畅 综合,helio p60
联发科 Helio P70,2.1GHz（大四核），2.0GHz（小四核）,,4GB>游戏运行一般,64GB/128GB1.3万张照片5461首歌曲,17,2280x1080像素1080P高清（击败98.21%手机）,6.3英寸需双手打字更多6.3英寸手机＞,1199,3200万像素高清级像素高像素自拍手机>,1600万像素+500万像素高清级像素高清像素手机>,中兴Blade V10（全网通）,三摄像头（后双）>,八核>,3200mAh小电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电,helio p70
海思 Kirin 970,2.36GHz（大四核），1.8GHz（小四核）+微智核i7,Mali-G72 MP12,6GB>游戏运行良好,64GB/128GB1.3万张照片5461首歌曲,18,2160x1080像素1080P高清（击败98.21%手机）,6英寸需双手打字更多6英寸手机＞,3599,800万像素>普通级像素高像素自拍手机>,1200万像素+2000万像素高清级像素 样张秀>，高清像素手机>,华为Mate 10 Pro（全网通）,,八核>,4000mAh大电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 性能 速度 流畅 综合 网络 信号,麒麟970
高通 骁龙835（MSM8998）,2.35GHz（大四核），1.9GHz（小四核）,高通 Adreno540,6GB>游戏运行良好,64GB/128GB/256GB1.3万张照片5461首歌曲,19,2960x1440像素2K超清（击败99.81%手机）,6.3英寸需双手打字更多6.3英寸手机＞,3999,800万像素>普通级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,三星GALAXY Note 8（N9500/全网通）,三摄像头（后双）>,八核>,3300mAh（30分钟充电30%）大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙835
高通 骁龙855,2.84,高通 Adreno640,12GB>游戏运行流畅,256GB>5.2万张照片2.2万首歌曲,20,2340x1080像素>1080P高清（击败98.21%手机）,6.41英寸需双手打字更多6.41英寸手机＞,4298,1200万像素高清级像素高像素自拍手机>,双核1200万像素+1300万像素+200万像素高清级像素 样张秀>，高清像素手机>,vivo iQOO（12GB RAM/全网通）,四摄像头（后三）>,八核>,4000mAh大电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性能 速度 流畅 综合 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接,骁龙855
高通 骁龙845,2.8GHz,高通 Adreno630,8GB>游戏运行流畅,128GB/256GB2.6万张照片1.1万首歌曲,21,2280x1080像素1080P高清（击败98.21%手机）,6.28英寸需双手打字更多6.28英寸手机＞,3198,1600万像素>高清级像素高像素自拍手机>,1600万像素+2000万像素高清级像素高清像素手机>,一加6（8GB RAM/全网通）,,八核>,3300mAh（30分钟充电58%）大电池大电池手机>,性能 速度 流畅 综合 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙845
高通 骁龙845,2.8GHz,高通 Adreno630,8GB>游戏运行流畅,128GB>2.6万张照片1.1万首歌曲,22,2340x1080像素>1080P高清（击败98.21%手机）,6.41英寸需双手打字更多6.41英寸手机＞,3599,1600万像素>高清级像素高像素自拍手机>,2000万像素+1600万像素高清级像素 样张秀>，高清像素手机>,一加6T（8GB RAM/全网通）,三摄像头（后双）>,八核>,3700mAh大电池大电池手机>,性能 速度 流畅 综合 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响,骁龙845
高通 骁龙660AIE,2.2GHz（大四核），1.8GHz（小四核）,高通 Adreno512,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,23,2280x1080像素1080P高清（击败98.21%手机）,6.257英寸需双手打字更多6.257英寸手机＞,1198,2x1200万像素（2400万感光单元）高清级像素高像素自拍手机>,1300万像素+200万像素高清级像素高清像素手机>,vivo Z1（4GB RAM/全网通）,三摄像头（后双）>,八核>,3260mAh（30分钟充电27%）小电池,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性价比 体验 效率 价格 性能 速度 流畅 综合 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量,骁龙660
高通 骁龙845,2.8GHz,高通 Adreno630,6GB>游戏运行良好,128GB>2.6万张照片1.1万首歌曲,24,2160x1080像素1080P高清（击败98.21%手机）,6.5英寸需双手打字更多6.5英寸手机＞,3198,2000万像素高清级像素高像素自拍手机>,2000万像素+1200万像素高清级像素 样张秀>，高清像素手机>,魅族16th Plus（6GB RAM/全网通）,三摄像头（后双）>,八核>,3640mAh大电池大电池手机>,外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 性能 速度 流畅 综合,骁龙845
海思 Kirin 1020,,,10GB>游戏运行流畅,1TB>20.5万张照片8.5万首歌曲,25,3840x2160像素>4K超高清（击败99.99%手机）,7英寸需双手打字更多7英寸手机＞,概念产品,2400万像素高清级像素高像素自拍手机>,1600万像素+2400万像素+800万像素高清级像素高清像素手机>,华为Mate 30（全网通）,四摄像头（后三）>,八核>,4200mAh大电池,,麒麟1020
高通 骁龙845,2.8GHz（大四核），1.7GHz（小四核）,高通 Adreno630,6GB>游戏运行良好,64GB/128GB/256GB1.3万张照片5461首歌曲,26,2960x1440像素2K超清（击败99.81%手机）,6.2英寸需双手打字更多6.2英寸手机＞,5499,800万像素>普通级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,三星GALAXY S9+（全网通）,三摄像头（后双）>,真八核>,3500mAh（30分钟充电37%）大电池大电池手机>,﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响,骁龙845
高通 骁龙710,2.2GHz>,高通 Adreno616,4GB>游戏运行一般,64GB>1.3万张照片5461首歌曲,27,2220x1080像素1080P高清（击败98.21%手机）,6.2英寸需双手打字更多6.2英寸手机＞,1248,2000万像素高清级像素高像素自拍手机>,1200万像素+500万像素高清级像素高清像素手机>,魅族X8（4GB RAM/全网通）,三摄像头（后双）>,八核>,3210mAh（30分钟充电44%）小电池,发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 性价比 体验 效率 价格,骁龙710
高通 骁龙855,,,12GB>游戏运行流畅,512GB>10.5万张照片4.4万首歌曲,28,2340x1080像素>1080P高清（击败98.21%手机）,6.5英寸需双手打字更多6.5英寸手机＞,即将上市,2500万像素高清级像素高像素自拍手机>,4800万像素+1600万像素高清级像素高清像素手机>,vivo APEX 2019（全网通）,三摄像头（后双）>,八核>,4500mAh大电池,做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响,骁龙855
高通 骁龙855,,,8GB>游戏运行流畅,256GB>5.2万张照片2.2万首歌曲,29,2248x1080像素1080P高清（击败98.21%手机）,6.47英寸需双手打字更多6.47英寸手机＞,即将上市,2500万像素高清级像素高像素自拍手机>,1600万像素+2000万像素高清级像素高清像素手机>,中兴AXON 10 Pro（全网通）,三摄像头（后双）>,八核>,4300mAh大电池,,骁龙855
高通 骁龙845,2.8GHz,高通 Adreno630,6GB>游戏运行良好,64GB/128GB1.3万张照片5461首歌曲,30,2160x1080像素1080P高清（击败98.21%手机）,5.99英寸可单手打字更多5.99英寸手机＞,2699,500万像素>普通级像素高像素自拍手机>,双1200万像素高清级像素 样张秀>，高清像素手机>,小米MIX 2s（6GB RAM/全网通）,,八核>,3400mAh（30分钟充电45%）大电池大电池手机>,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 性价比 体验 效率 价格 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 ﻿设计 四角 背面 外型 造型 纹理 流线 锐度 外形 边角 视觉 宽度 美感 观感 外观 拉丝 弧线 弧面 颜值 比例 屏占 边框 线条 衔接 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 识别率 兼容性 实用性 功能性 ui 易用性 整体性 稳定性 综合性,骁龙845
苹果 A11+M11协处理器,,,2GB>游戏运行卡顿,64GB/256GB1.3万张照片5461首歌曲,31,1334x750像素720P普清（击败86.86%手机）,4.7英寸可单手打字更多4.7英寸手机＞,4399,700万像素普通级像素高像素自拍手机>,1200万像素>高清级像素高清像素手机>,苹果iPhone 8（国际版/全网通）,双摄像头（前后）>,六核>,1821mAh小电池,相机 噪点 逆光 视觉效果 白平衡 色准 清晰度 画质 色彩 拍照 像素 拍摄 夜景 立体感 照相 微距 表现力 成像 近景 夜拍 纯净度 相素 发热 待机 电池 续航 功耗 散热 能耗 耗电量 充电 做工 大小 边缘 触感 工艺 持握 握持 厚度 握感 摸上去 质感 材质 分量 重量 手握 尺寸 手感 切边 拿在手上 份量 外放 音量 音乐 声场 声效 环绕 立体声 响铃 声音 听歌 音质 麦克风 通话 音效 扬声器 播放器 喇叭 音响 性能 速度 流畅 综合,a11
